Time,Episode,Steps,ActorLoss,CriticLoss,AgentAC_reward,Agent0_reward,Agent1_reward,Agent2_reward
1596540866.4813504,1441,413,1076.5135498046875,0.8848466873168945,-17.59999999999999,-4.0,-5.0,18.0
1596540869.5183856,1442,371,1216.8114013671875,0.8557881712913513,-16.599999999999994,-3.0,-5.0,18.0
1596540873.1221762,1443,446,-1221.234375,0.9240789413452148,-18.399999999999988,-5.0,18.0,-5.0
1596540877.9138196,1444,593,469.65386962890625,0.9190235733985901,-19.399999999999984,18.0,-3.0,-5.0
1596540879.9295397,1445,233,350.5534973144531,0.875885009765625,-13.300000000000002,18.0,-7.0,-8.0
1596540883.339319,1446,391,52.081520080566406,0.9837347269058228,-12.700000000000003,18.0,-8.0,-4.0
1596540886.5839736,1447,375,-2005.3880615234375,1.0159988403320312,8.599999999999998,-6.0,-5.0,-6.0
1596540889.3126762,1448,327,752.2117309570312,0.982944130897522,-15.399999999999999,-8.0,18.0,-8.0
1596540892.4814107,1449,359,-1568.8548583984375,1.0077158212661743,8.599999999999994,-7.0,-3.0,-8.0
1596540894.828486,1450,273,232.82943725585938,0.9781062006950378,-13.200000000000003,18.0,-8.0,-7.0
1596540898.3838,1451,418,-18.831621170043945,1.1142574548721313,7.900000000000003,-4.0,-4.0,-5.0
1596540901.3779032,1452,342,606.1142578125,0.9157934188842773,-13.700000000000003,-7.0,18.0,-7.0
1596540905.0813005,1453,455,2274.982421875,0.9082548022270203,-16.89999999999999,-4.0,-6.0,18.0
1596540908.3896732,1454,400,2202.33984375,1.0187501907348633,-15.499999999999998,-5.0,18.0,-8.0
1596540910.9364238,1455,304,1669.66552734375,0.7971228957176208,-15.2,-5.0,-5.0,18.0
1596540913.0779495,1456,250,1029.4287109375,0.8971166014671326,-12.000000000000002,-8.0,18.0,-6.0
1596540915.971659,1457,360,1272.3919677734375,0.8311893343925476,-15.299999999999999,18.0,-4.0,-5.0
1596540919.3015592,1458,415,803.0009155273438,0.9665175080299377,-17.39999999999999,18.0,-5.0,-6.0
1596540921.9210093,1459,326,261.53558349609375,0.8981936573982239,-14.400000000000002,-5.0,-7.0,18.0
1596540925.2172558,1460,370,-2092.30810546875,1.0210052728652954,8.099999999999994,-8.0,-6.0,-8.0
1596540928.2467723,1461,346,-615.8717041015625,0.9759477376937866,-11.900000000000004,-7.0,18.0,-7.0
1596540930.5303345,1462,277,124.679443359375,0.8579466342926025,-14.200000000000003,-3.0,-7.0,18.0
1596540933.173495,1463,287,-1167.7486572265625,0.9925440549850464,10.1,-8.0,-7.0,-7.0
